"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.267000000E-3,-1.565294952E0,9.194629669E0,3.066672821E0,9.818138583E0
1.126500000E-2,-1.566043396E0,9.167835388E0,3.062780914E0,9.791952030E0
2.126300000E-2,-1.529219971E0,9.103618927E0,2.889141998E0,9.672721064E0
3.126100000E-2,-1.462309113E0,9.018595734E0,2.775677948E0,9.548706981E0
4.125900000E-2,-1.444196777E0,9.028325500E0,2.767594757E0,9.552797832E0
5.125700000E-2,-1.465153198E0,9.142987061E0,2.868634644E0,9.693809932E0
6.125500000E-2,-1.412762146E0,9.230854340E0,2.910996552E0,9.781537182E0
7.125300000E-2,-1.398691406E0,9.327702942E0,2.985840912E0,9.893312174E0
8.125100000E-2,-1.394500122E0,9.425299988E0,3.055296478E0,1.000578568E1
9.124900000E-2,-1.421444092E0,9.437125397E0,3.028053131E0,1.001243950E1
1.012470000E-1,-1.450783081E0,9.403595123E0,3.053350525E0,9.992763493E0
1.112450000E-1,-1.437909851E0,9.360484772E0,3.009342041E0,9.936921023E0
1.212436250E-1,-1.445693665E0,9.281449127E0,3.069965973E0,9.882308392E0
1.312416250E-1,-1.445993042E0,9.179062042E0,3.048560486E0,9.779560158E0
1.412396250E-1,-1.496438141E0,9.148076477E0,3.064427490E0,9.763060288E0
1.512376250E-1,-1.487157440E0,9.109307098E0,3.003504181E0,9.706294372E0
1.612356250E-1,-1.481020203E0,9.095685425E0,2.965034180E0,9.680720111E0
1.712336250E-1,-1.485810242E0,9.073980560E0,2.925067291E0,9.648874232E0
1.812316250E-1,-1.476230164E0,9.052874451E0,2.895728302E0,9.618681496E0
1.912296250E-1,-1.443598022E0,9.056317291E0,2.877765656E0,9.611576005E0
2.012276250E-1,-1.416504364E0,9.085356903E0,2.910397797E0,9.644719281E0
2.112256250E-1,-1.384920044E0,9.173673248E0,2.906356201E0,9.722200922E0
2.212236250E-1,-1.388063507E0,9.208550720E0,2.894081726E0,9.751914464E0
2.312216250E-1,-1.394350433E0,9.208401031E0,2.889591064E0,9.751338329E0
2.412196250E-1,-1.424288177E0,9.266779633E0,2.992876282E0,9.841702597E0
2.512166250E-1,-1.428629150E0,9.218879242E0,2.977458344E0,9.792546855E0
2.612146250E-1,-1.473086700E0,9.241332550E0,3.152893524E0,9.874864521E0
2.712126250E-1,-1.476529541E0,9.267228699E0,3.154091034E0,9.899997853E0
2.812106250E-1,-1.493444366E0,9.226513367E0,3.144361267E0,9.861335242E0
2.912086250E-1,-1.508862305E0,9.227261810E0,3.170706482E0,9.872811432E0
3.012066250E-1,-1.632954254E0,9.267228699E0,3.027753754E0,9.885107999E0
3.112046250E-1,-1.428329773E0,9.111552429E0,2.940934296E0,9.680372314E0
3.212026250E-1,-1.241218872E0,8.538244629E0,3.392096100E0,9.270844707E0
3.312006250E-1,-1.373992767E0,8.524622955E0,2.942730560E0,9.122319650E0
3.411986250E-1,-1.406475220E0,8.490942993E0,3.092568970E0,9.145396016E0
3.511966250E-1,-1.304237823E0,8.352929993E0,2.883004761E0,8.932199741E0
3.611946250E-1,-1.279838562E0,8.372539215E0,2.899320831E0,8.952288028E0
3.711926250E-1,-1.242715759E0,8.119864655E0,3.128045197E0,8.789835676E0
3.811906250E-1,-1.219813385E0,7.757168884E0,3.330873413E0,8.529732205E0
3.911886250E-1,-1.274898834E0,7.516469421E0,3.492088165E0,8.385544667E0
4.011866250E-1,-1.230890350E0,6.997947693E0,3.902085571E0,8.106333004E0
4.111846250E-1,-9.895921326E-1,6.315516815E0,4.311184845E0,7.710470803E0
4.211826250E-1,-1.059945831E0,5.844745789E0,4.255201263E0,7.306933440E0
4.311806250E-1,-1.230590973E0,4.963977356E0,4.586013336E0,6.869275337E0
4.411786250E-1,-8.954379272E-1,4.191882935E0,3.977229309E0,5.847396395E0
4.511766250E-1,-6.518943787E-1,3.821103973E0,2.845432892E0,4.808564255E0
4.611746250E-1,-4.393363953E-1,3.753594360E0,2.300116882E0,4.424141133E0
4.711726250E-1,-2.415975952E-1,3.759881287E0,2.572550354E0,4.562136781E0
4.811706250E-1,5.101391602E-1,4.809498596E0,2.667752380E0,5.523442900E0
4.911686250E-1,7.117698669E-1,6.248007202E0,1.567240906E0,6.480775756E0
5.011666250E-1,5.364843750E-1,6.711892548E0,9.005273438E-1,6.793251545E0
5.111646250E-1,6.060896301E-1,7.847431183E0,2.334694977E0,8.209769878E0
5.211626250E-1,6.972500610E-1,1.190175018E1,4.415368195E0,1.271350822E1
5.311606250E-1,5.227130127E-1,1.872531052E1,5.935457153E0,1.965044871E1
5.411586250E-1,-8.485853577E-1,2.284773788E1,4.688999176E0,2.333936453E1
5.511566250E-1,-3.695215759E0,2.527000076E1,3.996688843E0,2.584958568E1
5.611546250E-1,-5.888005829E0,2.244567398E1,4.217330017E0,2.358522346E1
5.711526250E-1,-3.766617279E0,1.382989059E1,3.855682068E0,1.484316556E1
5.811496250E-1,-1.895059204E-1,7.457192688E0,3.840862885E0,8.390343436E0
5.911476250E-1,1.227746887E0,5.463937683E0,3.882027283E0,6.814111332E0
6.011456250E-1,1.889371033E0,5.715115356E0,3.573219452E0,7.000011692E0
6.111436250E-1,2.077380066E0,7.477999420E0,2.964285736E0,8.308006571E0
6.211416250E-1,1.510957947E0,8.804241486E0,2.459535370E0,9.265364337E0
6.311396250E-1,8.369096375E-1,8.818162537E0,2.244432678E0,9.137717785E0
6.411376250E-1,4.287084961E-1,8.259973297E0,2.125729523E0,8.539887344E0
6.511356250E-1,1.538800049E-1,7.959398346E0,1.990859985E0,8.206048048E0
6.611336250E-1,-2.143542480E-1,8.037984924E0,1.877395935E0,8.257103904E0
6.711316250E-1,-7.366181946E-1,8.487051086E0,1.819167023E0,8.711028135E0
6.811296250E-1,-1.348096619E0,9.236692200E0,1.825603638E0,9.511397160E0
6.911276250E-1,-1.872306519E0,1.012509476E1,1.968107300E0,1.048315420E1
7.011256250E-1,-2.189197540E0,1.089629105E1,2.226619720E0,1.133488332E1
7.111236250E-1,-2.189646606E0,1.132470016E1,2.545007629E0,1.181187749E1
7.211216250E-1,-2.185305634E0,1.131077911E1,2.796185303E0,1.185444799E1
7.311196250E-1,-2.047741699E0,1.084734283E1,2.917283478E0,1.141790854E1
7.411176250E-1,-1.962269440E0,1.026161087E1,2.861599274E0,1.083235475E1
7.511156250E-1,-1.919907532E0,9.905052338E0,2.669548645E0,1.043659891E1
7.611136250E-1,-1.653611298E0,9.801318054E0,2.380799103E0,1.022098187E1
7.711116250E-1,-1.330433350E0,9.756261749E0,2.167342987E0,1.008226521E1
7.811096250E-1,-1.161584473E0,9.520352325E0,1.986069946E0,9.794430086E0
7.911076250E-1,-1.156794434E0,9.079219666E0,1.643133087E0,9.298940232E0
8.011056250E-1,-1.275048523E0,8.498876495E0,1.124012604E0,8.667182631E0
8.111036250E-1,-1.455124054E0,8.057594147E0,5.972579956E-1,8.209684924E0
8.211016250E-1,-1.808090057E0,7.928712158E0,2.164498901E-1,8.135140853E0
8.310996250E-1,-1.961970062E0,8.130492554E0,-1.468446350E-1,8.365153856E0
8.410976250E-1,-1.961970062E0,8.614286499E0,-3.625460815E-1,8.842324246E0
8.510956250E-1,-1.978435822E0,8.929381256E0,-1.553768921E-1,9.147250947E0
8.610936250E-1,-1.782044220E0,8.899593201E0,4.998106384E-1,9.090008329E0
8.710916250E-1,-1.523382111E0,8.952433319E0,1.197360077E0,9.159717602E0
8.810886250E-1,-1.271156616E0,9.021290131E0,1.775757294E0,9.281854811E0
