"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.179833333E-3,7.566764832E-1,-8.503816223E-1,9.595945129E0,9.663222606E0
8.818166667E-3,1.132544861E0,-5.456153870E-1,9.078471222E0,9.165096494E0
1.881616667E-2,1.287921753E0,-4.689747620E-1,8.707841949E0,8.815054803E0
2.881416667E-2,1.195863190E0,-5.595364380E-1,8.631201324E0,8.731598141E0
3.881216667E-2,1.013991394E0,-6.921606445E-1,9.115893402E0,9.198194248E0
4.881016667E-2,9.312135315E-1,-7.014413452E-1,9.649833069E0,9.720002925E0
5.880816667E-2,9.017248535E-1,-6.500981140E-1,1.006102798E1,1.012225367E1
6.880616667E-2,8.604107666E-1,-5.598358154E-1,1.030861313E1,1.035959591E1
7.880516667E-2,9.011260986E-1,-5.358856201E-1,1.036744080E1,1.042031815E1
8.880316667E-2,1.015338593E0,-6.484515381E-1,1.024065445E1,1.031127564E1
9.880116667E-2,1.044976959E0,-6.700067139E-1,1.007420059E1,1.015038932E1
1.087991667E-1,1.037941589E0,-6.144721985E-1,9.890831909E0,9.964108323E0
1.187971667E-1,9.768685913E-1,-5.727090454E-1,9.635762329E0,9.702071096E0
1.287951667E-1,9.656419373E-1,-5.182223511E-1,9.543254700E0,9.605973611E0
1.387931667E-1,9.464817810E-1,-4.754113770E-1,9.595496063E0,9.653775864E0
1.487911667E-1,9.298663330E-1,-5.077441406E-1,9.718989258E0,9.776564207E0
1.587891667E-1,8.943901062E-1,-5.420228577E-1,9.781559143E0,9.837307645E0
1.687881667E-1,8.397537231E-1,-5.957611084E-1,9.808353424E0,9.862246930E0
1.787861667E-1,7.911048889E-1,-6.649172974E-1,9.810748444E0,9.865026456E0
1.887841667E-1,7.637118530E-1,-6.921606445E-1,9.787247314E0,9.841369424E0
1.987821667E-1,7.292834473E-1,-7.032376099E-1,9.769883423E0,9.822271610E0
2.087801667E-1,6.833290100E-1,-7.240443420E-1,9.752669220E0,9.803353286E0
2.187781667E-1,6.725514221E-1,-7.331753540E-1,9.742191010E0,9.792862563E0
2.287761667E-1,6.807843018E-1,-7.616162109E-1,9.788594513E0,9.841753353E0
2.387741667E-1,7.140151978E-1,-7.831713867E-1,9.834099884E0,9.891041181E0
2.487721667E-1,7.583230591E-1,-7.691006470E-1,9.872719574E0,9.931624311E0
2.587701667E-1,7.791297913E-1,-7.464976501E-1,9.886490936E0,9.945200099E0
2.687691667E-1,7.825726318E-1,-7.274871826E-1,9.870324554E0,9.927988937E0
2.787671667E-1,7.586224365E-1,-7.222480774E-1,9.834249573E0,9.889874365E0
2.887651667E-1,7.586224365E-1,-7.274871826E-1,9.801767120E0,9.857960453E0
2.987631667E-1,7.701484680E-1,-7.110214233E-1,9.773775330E0,9.829820157E0
3.087611667E-1,7.869136047E-1,-7.056326294E-1,9.713450775E0,9.770786887E0
3.187591667E-1,8.280780029E-1,-6.956034851E-1,9.646988983E0,9.707418495E0
3.287571667E-1,8.705895996E-1,-6.771917725E-1,9.617350616E0,9.680389859E0
3.387551667E-1,9.030720520E-1,-6.438111877E-1,9.646839294E0,9.710383121E0
3.487531667E-1,9.309141541E-1,-6.029461670E-1,9.667047272E0,9.730464953E0
3.587521667E-1,9.587562561E-1,-5.788462830E-1,9.695937195E0,9.760403407E0
3.687501667E-1,9.711804199E-1,-5.490582275E-1,9.726773071E0,9.790544966E0
3.787481667E-1,9.747729492E-1,-5.240602112E-1,9.733209686E0,9.795927327E0
3.887461667E-1,1.004561005E0,-4.851411438E-1,9.733509064E0,9.797229375E0
3.987441667E-1,9.937834167E-1,-4.496649170E-1,9.765991516E0,9.826718390E0
4.087421667E-1,9.627978516E-1,-4.194277954E-1,9.818831635E0,9.874834381E0
4.187401667E-1,9.364526367E-1,-4.165837097E-1,9.877060547E0,9.930096202E0
4.287381667E-1,9.111552429E-1,-4.225712585E-1,9.913883972E0,9.964630739E0
4.387361667E-1,8.942404175E-1,-4.531077576E-1,9.924811249E0,9.975312070E0
4.487341667E-1,8.770262146E-1,-4.610412598E-1,9.924062805E0,9.973402458E0
4.587331667E-1,8.746311951E-1,-4.700225830E-1,9.911938019E0,9.961546880E0
4.687311667E-1,8.855584717E-1,-4.803511047E-1,9.862540741E0,9.913862056E0
4.787291667E-1,8.957373047E-1,-5.152285767E-1,9.826914825E0,9.881096133E0
4.887271667E-1,9.145980835E-1,-5.607339478E-1,9.785451050E0,9.844082713E0
4.987251667E-1,9.361532593E-1,-6.050418091E-1,9.730365601E0,9.794001901E0
5.087231667E-1,9.629475403E-1,-6.131250000E-1,9.714199219E0,9.781045787E0
5.187211667E-1,9.880952454E-1,-6.249504089E-1,9.711355133E0,9.781478096E0
5.287191667E-1,1.011895752E0,-6.656657410E-1,9.685908051E0,9.761345125E0
5.387171667E-1,1.030307465E0,-7.122189331E-1,9.679471436E0,9.760171953E0
5.487151667E-1,1.055754547E0,-7.313790894E-1,9.664951630E0,9.749914002E0
5.587141667E-1,1.044527893E0,-7.397616577E-1,9.635013885E0,9.719659377E0
5.687121667E-1,1.047671356E0,-7.535330200E-1,9.610315247E0,9.696576015E0
5.787101667E-1,1.028810577E0,-7.914042664E-1,9.614506531E0,9.701727050E0
5.887081667E-1,9.898915100E-1,-8.033793640E-1,9.653575287E0,9.737392845E0
5.987061667E-1,1.060544586E0,-7.447013855E-1,9.632169800E0,9.718952105E0
6.087041667E-1,1.061143341E0,-6.915618896E-1,9.693392487E0,9.775793622E0
6.187021667E-1,1.039438477E0,-6.834786987E-1,9.804461517E0,9.883068406E0
6.287001667E-1,1.057401123E0,-6.815327454E-1,9.815089417E0,9.895380956E0
6.386981667E-1,1.020428009E0,-6.801855469E-1,9.839338989E0,9.915468594E0
6.486971667E-1,1.003812561E0,-6.738986206E-1,9.879455566E0,9.953161372E0
6.586951250E-1,1.001866608E0,-6.622229004E-1,9.880054321E0,9.952775958E0
6.686931250E-1,9.960287476E-1,-6.542893982E-1,9.859097900E0,9.930859947E0
6.786911250E-1,9.919871521E-1,-6.586303711E-1,9.828561401E0,9.900426844E0
6.886891250E-1,1.018182678E0,-6.905140686E-1,9.825567627E0,9.902286849E0
6.986871250E-1,1.071920929E0,-6.679110718E-1,9.820178833E0,9.901062165E0
7.086851250E-1,1.071022797E0,-5.912704468E-1,9.828860779E0,9.904705689E0
7.186831250E-1,1.097966766E0,-5.188211060E-1,9.822723541E0,9.897504945E0
7.286811250E-1,1.113384705E0,-5.321434021E-1,9.820627899E0,9.897855042E0
7.386801250E-1,1.104852448E0,-5.941145325E-1,9.845625916E0,9.925221442E0
7.486781250E-1,1.079704742E0,-6.450086975E-1,9.848170624E0,9.928155075E0
7.586761250E-1,1.040785675E0,-6.613247681E-1,9.811347198E0,9.888534731E0
7.686741250E-1,9.822573853E-1,-6.533912659E-1,9.741592255E0,9.812765633E0
7.786721250E-1,9.282197571E-1,-6.686595154E-1,9.662556610E0,9.730040992E0
7.886701250E-1,8.921447754E-1,-7.062313843E-1,9.617200928E0,9.684277916E0
7.986681250E-1,8.737330627E-1,-7.244934082E-1,9.601184235E0,9.668042143E0
8.086661250E-1,8.833131409E-1,-7.273374939E-1,9.631121979E0,9.698854185E0
8.186641250E-1,8.987310791E-1,-7.120692444E-1,9.682764587E0,9.750420002E0
8.286621250E-1,9.268725586E-1,-6.945556641E-1,9.709558868E0,9.778396276E0
8.386611250E-1,9.559121704E-1,-6.843768311E-1,9.732910309E0,9.803656604E0
8.486591250E-1,9.813592529E-1,-6.879693604E-1,9.733958130E0,9.807461889E0
8.586571250E-1,1.013542328E0,-7.018904114E-1,9.751771088E0,9.829392532E0
