"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.140041668E-3,-1.823507996E0,9.237889709E0,2.735112305E0,9.805336660E0
1.213804167E-2,-1.786534882E0,9.245224457E0,2.677931213E0,9.789647477E0
2.213604167E-2,-1.748064880E0,9.233548737E0,2.669398956E0,9.769331803E0
3.213504167E-2,-1.749861145E0,9.245972900E0,2.660118256E0,9.778867932E0
4.213304167E-2,-1.785037994E0,9.230554962E0,2.674937439E0,9.774701829E0
5.213104167E-2,-1.810485077E0,9.206754456E0,2.676434326E0,9.757329784E0
6.212904167E-2,-1.841021576E0,9.226812744E0,2.683170319E0,9.783804823E0
7.212704167E-2,-1.876348114E0,9.253906403E0,2.672542419E0,9.813151835E0
8.212650000E-2,-1.912572784E0,9.277706909E0,2.640808411E0,9.834004739E0
9.212450000E-2,-1.920057220E0,9.259444885E0,2.612666931E0,9.810706794E0
1.021225000E-1,-1.906585236E0,9.234746246E0,2.592159576E0,9.779309626E0
1.121205000E-1,-1.884431305E0,9.214687958E0,2.628833313E0,9.765875285E0
1.221185000E-1,-1.853296051E0,9.202712860E0,2.685415649E0,9.764020045E0
1.321175000E-1,-1.845661926E0,9.251062317E0,2.708617401E0,9.814541770E0
1.421155000E-1,-1.878892822E0,9.281898193E0,2.717748413E0,9.852412331E0
1.521135000E-1,-1.931433563E0,9.278155975E0,2.719394989E0,9.859499126E0
1.621115000E-1,-1.997146912E0,9.269773407E0,2.686164093E0,9.855595991E0
1.721095000E-1,-2.088007965E0,9.191785583E0,2.657124481E0,9.793314556E0
1.821085000E-1,-1.954934692E0,9.284442902E0,2.634521484E0,9.846997161E0
1.921065000E-1,-1.973496094E0,9.248367920E0,2.673290863E0,9.827180677E0
2.021045000E-1,-1.986369324E0,9.213490448E0,2.634820862E0,9.786539240E0
2.121025000E-1,-1.955683136E0,9.209448853E0,2.665207672E0,9.784782912E0
2.221005000E-1,-1.959575043E0,9.207951965E0,2.712958374E0,9.797267827E0
2.320995000E-1,-2.060764618E0,9.145232391E0,2.688110046E0,9.752331102E0
2.420975000E-1,-2.202968903E0,9.070986786E0,2.589016113E0,9.687046902E0
2.520955000E-1,-2.010020142E0,9.301657104E0,2.583178253E0,9.860720853E0
2.620935000E-1,-1.902992706E0,9.314680023E0,2.612517242E0,9.859507671E0
2.720915000E-1,-1.888772278E0,9.324559479E0,2.533331909E0,9.845437560E0
2.820895000E-1,-1.866318970E0,9.392218781E0,2.548749847E0,9.909240430E0
2.920895000E-1,-1.859582977E0,9.344318390E0,2.617307281E0,9.880517822E0
3.020875000E-1,-1.860331421E0,9.369915161E0,2.649041290E0,9.913302320E0
3.120865000E-1,-1.877695312E0,9.363777924E0,2.668351135E0,9.915955550E0
3.220845000E-1,-1.912273407E0,9.266629944E0,2.636317749E0,9.822290536E0
3.320825000E-1,-1.925895081E0,9.214538269E0,2.583926697E0,9.761837150E0
3.420805000E-1,-1.891766052E0,9.186696167E0,2.559826813E0,9.722493434E0
3.520785000E-1,-1.849853210E0,9.195976868E0,2.574496307E0,9.727074518E0
3.620775000E-1,-1.825304260E0,9.237889709E0,2.621947632E0,9.774709781E0
3.720755000E-1,-1.815574493E0,9.264384613E0,2.656076660E0,9.807133945E0
3.820735000E-1,-1.822609863E0,9.278904419E0,2.648741913E0,9.820173504E0
3.920715000E-1,-1.830543365E0,9.294921112E0,2.628084869E0,9.831239880E0
4.020695000E-1,-1.828148346E0,9.317524109E0,2.616259460E0,9.849020025E0
4.120685000E-1,-1.823208618E0,9.332642670E0,2.624192963E0,9.864517098E0
4.220665000E-1,-1.845661926E0,9.313183136E0,2.677781525E0,9.864702832E0
4.320645000E-1,-1.893712006E0,9.270821228E0,2.681224365E0,9.834797176E0
4.420625000E-1,-1.930685120E0,9.226064301E0,2.660717010E0,9.794244357E0
4.520605000E-1,-1.971101074E0,9.191037140E0,2.597847748E0,9.752395402E0
4.620595000E-1,-1.953437805E0,9.164392548E0,2.537523193E0,9.707782135E0
4.720575000E-1,-1.935475159E0,9.170978851E0,2.537822571E0,9.710481995E0
4.820555000E-1,-1.925296326E0,9.194929047E0,2.568957825E0,9.739252046E0
4.920535000E-1,-1.915416870E0,9.260193329E0,2.656226349E0,9.822196327E0
5.020515000E-1,-1.930535431E0,9.315278778E0,2.750230865E0,9.902785243E0
5.120505000E-1,-1.950444031E0,9.321416016E0,2.805615692E0,9.927965948E0
5.220485000E-1,-1.961670685E0,9.304201813E0,2.812501373E0,9.915971320E0
5.320465000E-1,-1.950444031E0,9.261540527E0,2.758164368E0,9.858389094E0
5.420445000E-1,-1.929936676E0,9.222771149E0,2.701282654E0,9.802096266E0
5.520425000E-1,-1.898502045E0,9.185348969E0,2.652783508E0,9.747420481E0
5.620415000E-1,-1.886377258E0,9.167236633E0,2.662213898E0,9.730571899E0
5.720395000E-1,-1.874701538E0,9.163793793E0,2.680924988E0,9.730209727E0
5.820375000E-1,-1.888323212E0,9.177265778E0,2.711760864E0,9.754056525E0
5.920355000E-1,-1.885928192E0,9.200617218E0,2.738555145E0,9.783034633E0
6.020335000E-1,-1.916764069E0,9.213041382E0,2.748584290E0,9.803511187E0
6.120325000E-1,-1.940414886E0,9.219028931E0,2.774031372E0,9.820944680E0
6.220305000E-1,-1.918410645E0,9.221573639E0,2.784509583E0,9.821976043E0
6.320285000E-1,-1.886826324E0,9.230554962E0,2.804867249E0,9.830083355E0
6.420265000E-1,-1.869312744E0,9.259444885E0,2.787054291E0,9.848823348E0
6.520245000E-1,-1.848206635E0,9.270521851E0,2.799328766E0,9.858736465E0
6.620235000E-1,-1.848206635E0,9.251661072E0,2.806064758E0,9.842921303E0
6.720215000E-1,-1.861678619E0,9.211544495E0,2.815195770E0,9.810388702E0
6.820195000E-1,-1.878144379E0,9.184301147E0,2.769091644E0,9.774798331E0
6.920175000E-1,-1.870809631E0,9.181906128E0,2.757864990E0,9.767965403E0
7.020155000E-1,-1.854044495E0,9.210346985E0,2.783611450E0,9.798799175E0
7.120145000E-1,-1.848356323E0,9.248218231E0,2.807711334E0,9.840183153E0
7.220125000E-1,-1.855092316E0,9.291927338E0,2.832110596E0,9.889496022E0
7.320105000E-1,-1.889071655E0,9.297914886E0,2.839894409E0,9.903777724E0
7.420085000E-1,-1.909279633E0,9.287286987E0,2.802322540E0,9.886964141E0
7.520065000E-1,-1.904339905E0,9.257498932E0,2.773432617E0,9.849859158E0
7.620055000E-1,-1.861678619E0,9.236991577E0,2.763553162E0,9.819627628E0
7.720035000E-1,-1.819017334E0,9.215586090E0,2.769840088E0,9.793256106E0
7.820015000E-1,-1.821412354E0,9.194030914E0,2.774480438E0,9.774737291E0
7.919995000E-1,-1.817520447E0,9.187893677E0,2.775228882E0,9.768452597E0
8.019975000E-1,-1.819915466E0,9.213640137E0,2.778072968E0,9.793923947E0
8.119965000E-1,-1.850302277E0,9.232800293E0,2.755619659E0,9.811302639E0
8.219945000E-1,-1.892364807E0,9.256451111E0,2.728376312E0,9.833970156E0
8.319925000E-1,-1.915117493E0,9.279503174E0,2.690954132E0,9.849776054E0
8.419905000E-1,-1.855990448E0,9.271569672E0,2.646047516E0,9.818771419E0
8.519895000E-1,-1.738484802E0,9.245374146E0,2.626138916E0,9.767081350E0
8.619875000E-1,-1.600172424E0,9.224268036E0,2.655028839E0,9.731230689E0
8.719855000E-1,-1.525777130E0,9.228609009E0,2.698438568E0,9.735337220E0
8.819835000E-1,-1.535806274E0,9.233249359E0,2.731819153E0,9.750611803E0
8.919815000E-1,-1.612147522E0,9.233848114E0,2.765948181E0,9.773097767E0
9.019805000E-1,-1.713187408E0,9.254954224E0,2.819836121E0,9.825510904E0
9.119785000E-1,-1.811383209E0,9.257049866E0,2.891986084E0,9.865985245E0
9.219765000E-1,-1.918710022E0,9.234446869E0,2.926713867E0,9.875328409E0
9.319745000E-1,-2.024989014E0,9.180558929E0,2.925815735E0,9.845996165E0
9.419725000E-1,-2.084714813E0,9.150920563E0,2.921025696E0,9.829434069E0
9.519715000E-1,-2.082170105E0,9.156159668E0,2.897075500E0,9.826685029E0
9.619695000E-1,-2.078427887E0,9.156309357E0,2.909349976E0,9.829658224E0
9.719675000E-1,-2.058219910E0,9.156908112E0,2.914289703E0,9.827426918E0
9.819655000E-1,-2.053130493E0,9.172924805E0,2.926115112E0,9.844797811E0
9.919635000E-1,-2.038161621E0,9.181606750E0,2.921923828E0,9.848535128E0
1.001962500E0,-2.039209442E0,9.225016479E0,2.941233673E0,9.894956277E0
1.011960500E0,-2.071841583E0,9.261091461E0,2.975512390E0,9.945552603E0
1.021958500E0,-2.140848083E0,9.236991577E0,2.956651611E0,9.932121257E0
1.031956500E0,-2.183958435E0,9.179960175E0,2.957998810E0,9.888938275E0
1.041954500E0,-2.197580109E0,9.130712585E0,2.954256592E0,9.845146147E0
1.051953500E0,-2.230062561E0,9.077124023E0,2.907404022E0,9.788787346E0
1.061951500E0,-2.208507385E0,9.052874451E0,2.816542969E0,9.734729323E0
1.071949500E0,-2.146985321E0,9.055269470E0,2.761607208E0,9.707416006E0
1.081946875E0,-2.067500610E0,9.081464996E0,2.743644562E0,9.709539162E0
1.091944875E0,-2.016756134E0,9.114546204E0,2.756517792E0,9.733480782E0
1.101943875E0,-1.981130219E0,9.131910095E0,2.790497131E0,9.752104038E0
1.111941875E0,-1.940414886E0,9.136251068E0,2.809357910E0,9.753398658E0
1.121939875E0,-1.914668427E0,9.165739746E0,2.803520050E0,9.774275674E0
1.131937875E0,-1.900447998E0,9.193132782E0,2.806813202E0,9.798142339E0
1.141935875E0,-1.876946869E0,9.230255585E0,2.823578339E0,9.833267125E0
1.151934875E0,-1.834884338E0,9.304052124E0,2.777025146E0,9.881500652E0
1.161932875E0,-1.786983948E0,9.335486755E0,2.706222382E0,9.882725543E0
1.171930875E0,-1.707648926E0,9.339528351E0,2.644999695E0,9.855905745E0
1.181928875E0,-1.607956238E0,9.325307922E0,2.603236542E0,9.814465426E0
1.191926875E0,-1.512754211E0,9.297166443E0,2.575843506E0,9.765280280E0
