"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-6.448750009E-4,1.487456818E0,9.098978577E0,2.423610077E0,9.532986139E0
9.354124999E-3,1.465901642E0,9.310788116E0,2.661615143E0,9.794071581E0
1.935212500E-2,1.320104828E0,9.246122589E0,3.073408813E0,9.832563319E0
2.935012500E-2,1.305435333E0,8.840466156E0,2.922821960E0,9.402174827E0
3.934812500E-2,1.278341675E0,8.773106232E0,3.077450409E0,9.384681743E0
4.934612500E-2,1.187630310E0,8.806486816E0,3.399430847E0,9.514242265E0
5.934412500E-2,9.568103027E-1,8.843759308E0,3.345692596E0,9.503747871E0
6.934212500E-2,8.452922058E-1,9.051227875E0,3.549119568E0,9.758867489E0
7.934112500E-2,8.271798706E-1,9.227261810E0,3.652704163E0,9.958355022E0
8.933912500E-2,8.527766418E-1,9.302255859E0,3.537144470E0,9.988522567E0
9.933712500E-2,8.563691711E-1,9.297316132E0,3.645369415E0,1.002308204E1
1.093351250E-1,9.386979675E-1,9.134903870E0,3.638034668E0,9.877394334E0
1.193331250E-1,1.099014587E0,8.863368530E0,3.621119843E0,9.637408556E0
1.293311250E-1,1.263821869E0,8.640032959E0,3.525917816E0,9.416979967E0
1.393291250E-1,1.360371094E0,8.596174164E0,3.535497894E0,9.393857841E0
1.493281250E-1,1.425485687E0,8.612340546E0,3.523522797E0,9.413800084E0
1.593261250E-1,1.526226196E0,8.707991638E0,3.574716339E0,9.536093628E0
1.693241250E-1,1.570234680E0,8.807983704E0,3.616629181E0,9.650192770E0
1.793221250E-1,1.549577637E0,8.920399933E0,3.608246613E0,9.746495238E0
1.893201250E-1,1.569486237E0,9.040001221E0,3.594175873E0,9.854085920E0
1.993181250E-1,1.663640442E0,9.062304840E0,3.613336029E0,9.896932140E0
2.093161250E-1,1.798360291E0,9.071435852E0,3.694167938E0,9.958510175E0
2.193151250E-1,1.969604187E0,9.149273987E0,3.865411835E0,1.012570806E1
2.293131250E-1,2.048340454E0,9.270072784E0,3.929029541E0,1.027459105E1
2.393111250E-1,1.867666168E0,9.275461578E0,3.919898529E0,1.024148275E1
2.493091250E-1,1.542093201E0,9.306297455E0,3.738475800E0,1.014699094E1
2.593071250E-1,1.199455719E0,9.370663605E0,3.628304901E0,1.011991239E1
2.693051250E-1,1.000369720E0,9.320218506E0,3.370391235E0,9.961262453E0
2.793031250E-1,9.892927551E-1,9.378447418E0,3.219804382E0,9.964994551E0
2.893021250E-1,1.148112488E0,9.308393097E0,3.192261658E0,9.907314410E0
2.993001250E-1,1.306782532E0,8.834927673E0,3.352428589E0,9.539518071E0
3.092981250E-1,1.514999542E0,8.102051697E0,3.620970154E0,9.002771249E0
3.192961250E-1,1.595382385E0,7.602091370E0,3.845054169E0,8.667264834E0
3.292941250E-1,1.514550476E0,7.496111755E0,3.848047943E0,8.561134713E0
3.392921250E-1,1.554068298E0,7.640711060E0,3.985162811E0,8.756547059E0
3.492901250E-1,1.633253632E0,8.163424072E0,4.220473480E0,9.333884851E0
3.592891250E-1,2.112107849E0,9.452842712E0,4.334386597E0,1.061150989E1
3.692871250E-1,3.180436249E0,1.137559433E1,4.032314758E0,1.248114111E1
3.792851250E-1,3.533551941E0,1.243104950E1,3.615431671E0,1.341969922E1
3.892831250E-1,2.874622192E0,1.171942932E1,3.278632050E0,1.250431543E1
3.992811250E-1,2.336640930E0,1.107382187E1,2.648292847E0,1.162337630E1
4.092791250E-1,1.776356049E0,1.051204010E1,2.420915680E0,1.093248648E1
4.192771250E-1,1.333427124E0,1.004231689E1,2.578238525E0,1.045339516E1
4.292761250E-1,1.151255951E0,9.803563385E0,2.734962616E0,1.024281533E1
4.392741250E-1,1.177451477E0,9.971065063E0,3.012485504E0,1.048253783E1
4.492721250E-1,1.196312256E0,9.551786957E0,3.411705322E0,1.021310581E1
4.592701250E-1,1.094523926E0,8.334218903E0,3.500470734E0,9.105519354E0
4.692681250E-1,1.115630035E0,7.402855682E0,3.263812866E0,8.166968658E0
4.792661250E-1,1.299747162E0,7.187453613E0,2.996319122E0,7.894729914E0
4.892641250E-1,1.473086700E0,7.401658173E0,2.718796234E0,8.021619605E0
4.992631250E-1,1.697021027E0,7.961793365E0,2.751428375E0,8.593043236E0
5.092611250E-1,1.719624023E0,8.014184418E0,2.820584564E0,8.668330632E0
