step_index,time_s
91,0.910
155,1.550
225,2.250
275,2.750
343,3.430
395,3.950
463,4.630
516,5.160
587,5.870
643,6.430
709,7.090
763,7.630
826,8.260
878,8.780
941,9.410
995,9.950
1055,10.550
1106,11.060
1169,11.690
1224,12.240
1288,12.880
1335,13.350
1407,14.070
1461,14.610
1531,15.310
1580,15.800
1643,16.430
1709,17.090
1777,17.770
1835,18.350
1897,18.970
1948,19.480
2014,20.140
2081,20.810
2149,21.490
2202,22.020
2275,22.750
2326,23.260
2389,23.890
2437,24.370
2510,25.100
2562,25.620
2632,26.320
2685,26.850
2754,27.540
2808,28.080
2869,28.690
2933,29.330
2990,29.900
3055,30.550
3122,31.220
3175,31.750
3242,32.420
3296,32.960
3358,33.580
3422,34.220
3491,34.910
3546,35.460
3621,36.210
3673,36.730
3754,37.540
3799,37.990
3878,38.780
3929,39.290
4000,40.000
4057,40.570
4127,41.270
4179,41.790
4246,42.460
4376,43.760
