"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.608750006E-4,-1.358275452E0,8.569679260E0,4.153113556E0
1.095887500E-2,-1.407672729E0,8.498277740E0,4.306993561E0
2.095787500E-2,-1.414708099E0,8.486003265E0,4.454736328E0
3.095587500E-2,-1.451381836E0,8.538394318E0,4.568350067E0
4.095387500E-2,-1.372196503E0,8.761879578E0,4.582570496E0
5.095287500E-2,-1.404379578E0,8.667126617E0,4.450844421E0
6.095087500E-2,-1.376687164E0,8.586743774E0,4.476141815E0
7.094987500E-2,-1.347797241E0,8.453670502E0,4.522545319E0
8.094787500E-2,-1.408121796E0,8.413853302E0,4.537214813E0
9.094587500E-2,-1.367705841E0,8.468489685E0,4.517006836E0
1.009448750E-1,-1.330133972E0,8.473429413E0,4.489913177E0
1.109428750E-1,-1.267115021E0,8.467890930E0,4.534071350E0
1.209418750E-1,-1.283580780E0,8.501121826E0,4.549489288E0
1.309398750E-1,-1.358724518E0,8.553213501E0,4.553381195E0
1.409378750E-1,-1.405876465E0,8.638835449E0,4.540208588E0
1.509368750E-1,-1.490001526E0,8.534053345E0,4.569248199E0
1.609348750E-1,-1.393751678E0,8.728498993E0,4.482428741E0
1.709338750E-1,-1.435664520E0,8.725205841E0,4.478985901E0
1.809318750E-1,-1.499431915E0,8.644224243E0,4.431684265E0
1.909298750E-1,-1.445843353E0,8.701255646E0,4.485123138E0
2.009288750E-1,-1.422491913E0,8.748257904E0,4.446952515E0
2.109268750E-1,-1.383872223E0,8.741222534E0,4.382736053E0
2.209258750E-1,-1.326242065E0,8.709787903E0,4.374652863E0
2.309238750E-1,-1.302740936E0,8.607849884E0,4.464615784E0
2.409218750E-1,-1.284329224E0,8.498427429E0,4.576433258E0
2.509208750E-1,-1.242865448E0,8.431217194E0,4.689597931E0
2.609188750E-1,-1.177900543E0,8.385562134E0,4.850962372E0
2.709178750E-1,-1.175206146E0,8.385262756E0,4.875211945E0
2.809158750E-1,-9.888436890E-1,8.339907074E0,5.012626190E0
2.909138750E-1,-1.376836853E0,7.886799316E0,4.937033386E0
3.009161250E-1,-1.484762421E0,7.965086517E0,4.788093109E0
3.109141250E-1,-1.166823578E0,7.959098969E0,4.948709106E0
3.209131250E-1,-1.325643311E0,7.520361328E0,5.037624207E0
3.309111250E-1,-1.396595764E0,7.000941467E0,4.789440308E0
3.409101250E-1,-1.402583313E0,7.054829407E0,4.109554138E0
3.509081250E-1,-1.532662811E0,7.366780701E0,4.171225891E0
3.609061250E-1,-1.512454834E0,7.246281281E0,4.235592041E0
3.709051250E-1,-1.481169891E0,6.798262939E0,4.212390289E0
3.809031250E-1,-1.419348450E0,6.591243439E0,4.241280212E0
3.909021250E-1,-1.366208954E0,6.973249054E0,4.372706909E0
4.009001250E-1,-1.309476929E0,7.699389038E0,4.383484497E0
4.108981250E-1,-1.130000153E0,8.024662628E0,4.129313049E0
4.208971250E-1,-1.085093536E0,8.150700531E0,4.150269470E0
4.308951250E-1,-8.099656677E-1,8.883726196E0,4.652624817E0
4.408941250E-1,-7.816744995E-1,8.705596619E0,4.451293488E0
4.508921250E-1,-7.602690125E-1,9.126670990E0,3.936513977E0
4.608901250E-1,-7.074288940E-1,9.300758972E0,3.665128326E0
4.708891250E-1,-7.677534485E-1,8.767268372E0,3.673810272E0
4.808871250E-1,-7.316784668E-1,8.463849335E0,3.261268158E0
4.908861250E-1,-5.568420410E-1,8.860524445E0,2.688409424E0
5.008841250E-1,-4.388873291E-1,9.038204956E0,2.661615143E0
5.108821250E-1,-3.122506714E-1,9.390123138E0,2.809058533E0
5.208811250E-1,-1.097218323E-1,9.861193542E0,3.307821350E0
5.308791250E-1,3.248245239E-2,9.728419647E0,3.528462524E0
5.408781250E-1,1.091230774E-1,9.084758148E0,3.573668518E0
5.508761250E-1,3.353027344E-2,8.521629181E0,3.670068054E0
5.608741250E-1,9.295669556E-2,8.280630341E0,3.675157471E0
5.708731250E-1,2.432441711E-1,9.864935760E0,3.433559875E0
5.808711250E-1,6.466552734E-2,1.230486191E1,2.689606934E0
5.908701250E-1,-2.619552612E-2,1.449450851E1,2.944227448E0
6.008681250E-1,-4.062551880E-1,1.545625854E1,3.669618988E0
6.108661250E-1,-1.277293854E0,1.343411362E1,4.529131622E0
6.208651250E-1,-1.715881805E0,8.553063812E0,4.848717041E0
6.308631250E-1,-1.551373901E0,6.273903351E0,4.185446320E0
6.408621250E-1,-1.419647827E0,7.030280457E0,3.727997589E0
6.508601250E-1,-1.374142456E0,8.766370239E0,3.739673309E0
6.608581250E-1,-1.686243439E0,1.020457947E1,4.023632812E0
6.708571250E-1,-2.216590576E0,9.526040497E0,4.267775116E0
6.808551250E-1,-2.643652496E0,8.496032410E0,4.171375580E0
6.908541250E-1,-2.685565338E0,8.407416687E0,4.020339661E0
7.008521250E-1,-2.522254944E0,8.424630890E0,3.847898254E0
7.108501250E-1,-2.192490692E0,8.415499878E0,3.761078796E0
7.208491250E-1,-1.840572510E0,8.418044586E0,3.898343353E0
7.308471250E-1,-1.599573669E0,8.481063538E0,4.148473206E0
7.408461250E-1,-1.481469269E0,8.693022766E0,4.473896484E0
7.508441250E-1,-1.609902191E0,9.256151733E0,4.709805908E0
7.608431250E-1,-1.790127411E0,9.773475952E0,4.804259491E0
7.708411250E-1,-2.149380341E0,1.030487091E1,4.904850311E0
7.808391250E-1,-2.749033356E0,1.043240570E1,4.995112610E0
7.908381250E-1,-3.565435638E0,9.673184509E0,5.500162354E0
8.008361250E-1,-4.097429352E0,8.499475250E0,6.403683472E0
8.108351250E-1,-4.601880341E0,8.286168823E0,6.968608704E0
8.208331250E-1,-5.135969696E0,9.197324066E0,7.192393341E0
8.308311250E-1,-5.563181305E0,1.015667908E1,6.555018768E0
8.408301250E-1,-5.493725739E0,1.102637054E1,4.980892181E0
8.508281250E-1,-4.369862823E0,1.174831924E1,3.270997925E0
8.608271250E-1,-2.310146027E0,1.218481155E1,1.772015076E0
8.708251250E-1,-5.093907166E-1,1.227687012E1,7.167095947E-1
8.808231250E-1,5.544470215E-1,1.263312927E1,9.358538818E-1
8.908221250E-1,1.642534332E0,1.194605804E1,2.164049835E0
9.008201250E-1,2.598296814E0,1.068433182E1,3.032394104E0
9.108191250E-1,3.407963104E0,9.559570770E0,3.341351624E0
9.208171250E-1,3.700155487E0,8.850345612E0,3.006048889E0
9.308151250E-1,2.701731720E0,8.973988495E0,3.123404846E0
9.408141250E-1,1.775607605E0,9.093140717E0,3.657643890E0
9.508121250E-1,1.640588379E0,9.033414917E0,3.216511230E0
9.608111250E-1,1.111438751E0,8.822204132E0,3.309467926E0
9.708091250E-1,6.224057007E-1,8.342152405E0,3.604504395E0
9.808071250E-1,7.155120850E-2,8.032147064E0,3.677552490E0
9.908061250E-1,-4.144880676E-1,7.810308380E0,3.346291351E0
1.000804125E0,-6.255491638E-1,7.948471069E0,2.984044647E0
1.010803125E0,-5.212161255E-1,8.277187500E0,2.852917328E0
1.020801125E0,-2.077679443E-1,8.575966187E0,2.936892700E0
1.030799125E0,-6.301895142E-2,8.766669617E0,2.983296204E0
1.040798125E0,-4.296066284E-2,8.874894562E0,2.918930054E0
1.050796125E0,2.589614868E-2,8.669970703E0,2.893333282E0
1.060795125E0,2.445913696E-1,8.255931702E0,2.990331573E0
1.070793125E0,4.556524658E-1,7.752678223E0,3.237168274E0
1.080791125E0,5.120851135E-1,7.352260895E0,3.456162872E0
1.090790125E0,4.884342957E-1,7.015161896E0,3.569776611E0
1.100788125E0,3.547622681E-1,6.843169556E0,3.448977814E0
1.110787125E0,2.529739380E-1,6.738986206E0,3.135679321E0
1.120785125E0,3.080593872E-1,6.664590912E0,2.834206238E0
1.130784125E0,4.007167053E-1,6.630910950E0,2.532433777E0
1.140782125E0,5.661227417E-1,6.423442383E0,2.323019257E0
1.150780125E0,6.595285034E-1,6.108197937E0,2.099683685E0
1.160779125E0,7.119195557E-1,6.105353851E0,1.902393951E0
1.170777125E0,7.879614258E-1,6.168522491E0,1.817520447E0
1.180776125E0,8.717871094E-1,6.184988251E0,1.936522980E0
1.190774125E0,1.059945831E0,6.359824677E0,2.258054352E0
1.200772125E0,1.226549377E0,6.678362274E0,2.893632660E0
1.210771125E0,1.295855255E0,7.092101898E0,3.748355255E0
1.220769125E0,1.365460510E0,7.882158966E0,4.588258667E0
1.230768125E0,1.204844513E0,8.931327209E0,5.530100098E0
1.240766125E0,5.285508728E-1,1.014994308E1,6.672075348E0
1.250764125E0,2.423460388E-1,1.160746216E1,7.792345734E0
1.260763125E0,-4.610412598E-1,1.240859619E1,8.489146729E0
1.270761125E0,-1.376986542E0,1.242775635E1,8.480165405E0
1.280760125E0,-1.822011108E0,1.178514267E1,7.859406281E0
1.290758125E0,-1.831591187E0,1.083985840E1,6.910828857E0
1.300752875E0,-1.589245148E0,1.017733612E1,6.093079376E0
1.310751875E0,-1.087338867E0,9.691147156E0,5.694757690E0
1.320749875E0,-3.893403625E-1,9.153614960E0,5.688021698E0
1.330748875E0,2.658471680E-1,8.727750549E0,5.823939056E0
1.340746875E0,9.148974609E-1,8.533604279E0,6.052663422E0
1.350745875E0,1.470392303E0,8.368048553E0,6.177354126E0
1.360743875E0,1.716330872E0,8.234526215E0,6.072871399E0
1.370741875E0,1.784289551E0,8.394543457E0,5.931565247E0
1.380740875E0,1.684297485E0,9.047036591E0,5.452112274E0
1.390738875E0,2.109114075E0,1.019634659E1,5.113965454E0
1.400737875E0,2.710862732E0,1.213676147E1,5.325924683E0
1.410735875E0,2.875520325E0,1.505658966E1,5.742209015E0
1.420733875E0,2.139800262E0,1.781161057E1,5.399571533E0
1.430732875E0,4.833448792E-1,1.768946457E1,4.566254425E0
1.440730875E0,-9.969268799E-2,1.495779510E1,1.345701599E0
1.450729875E0,6.306385803E-1,1.126078308E1,-1.919757843E0
1.460727875E0,1.523082733E0,7.727380829E0,-2.851570129E0
1.470726875E0,2.720442810E0,5.792953491E0,-2.849624176E0
1.480724875E0,3.667673035E0,5.117857361E0,-1.716480560E0
1.490722875E0,3.690276031E0,4.620591431E0,2.597099304E-1
1.500721875E0,2.978206787E0,4.262086945E0,1.541943512E0
1.510719875E0,1.289568329E0,4.171375580E0,7.445516968E-1
1.520718875E0,-1.180594940E0,4.846621399E0,-2.080972595E0
1.530716875E0,-3.065924377E0,6.460864563E0,-5.151088257E0
1.540714875E0,-3.955374756E0,9.232051849E0,-5.188061371E0
1.550713875E0,-4.571942596E0,1.201970490E1,-4.534819794E0
1.560711875E0,-3.629203033E0,1.326122314E1,-4.002676392E0
1.570710875E0,-1.971250763E0,1.283431091E1,-2.802771606E0
1.580708875E0,-2.180365906E0,1.300839890E1,-1.762584686E0
1.590706875E0,-3.210972748E0,1.490315872E1,-4.144880676E-1
1.600705875E0,-3.980672150E0,1.581506241E1,1.111139374E0
1.610703875E0,-4.362528076E0,1.386581589E1,1.259780273E0
1.620702875E0,-4.059258728E0,1.034558624E1,2.069296875E0
1.630700875E0,-2.172582092E0,8.486602020E0,2.672243042E0
1.640698875E0,1.502874756E-1,8.095914459E0,1.881138153E0
1.650697875E0,2.183958435E0,8.002957764E0,1.296004944E0
1.660695875E0,3.920796661E0,8.124954071E0,1.515747986E0
1.670694875E0,3.973187714E0,8.083041229E0,1.738335114E0
1.680692875E0,2.667303314E0,7.749983826E0,1.592388611E0
1.690690875E0,1.631906433E0,7.850724335E0,7.786807251E-1
1.700689875E0,1.044078827E0,8.157286835E0,-4.602928162E-1
1.710687875E0,4.809498596E-1,8.472980347E0,-1.524878998E0
1.720686875E0,-1.357676697E-1,8.544381866E0,-2.437980194E0
1.730684875E0,-5.405259705E-1,8.747659149E0,-3.124602356E0
1.740682875E0,-7.797285461E-1,9.177565155E0,-3.394042053E0
1.750681875E0,-9.892927551E-1,9.513017578E0,-3.168610840E0
1.760679875E0,-1.001866608E0,1.008183472E1,-2.433938599E0
1.770678875E0,-1.071920929E0,1.070379135E1,-9.904902649E-1
1.780676875E0,-1.493594055E0,1.056562866E1,5.031037903E-1
1.790674875E0,-1.929188232E0,9.710906067E0,1.016835480E0
1.800673875E0,-1.883832550E0,9.059610443E0,8.153544617E-1
1.810671875E0,-1.691482544E0,8.824599152E0,5.831872559E-1
1.820670875E0,-1.350042572E0,8.700357513E0,3.252735901E-1
1.830668875E0,-8.909472656E-1,8.592282257E0,-2.933898926E-2
1.840666875E0,-2.207908630E-1,8.577912140E0,-3.132984924E-1
1.850665875E0,3.640429688E-1,8.687184906E0,-9.864486694E-2
1.860663875E0,9.659413147E-1,8.831784210E0,2.948867798E-2
1.870662875E0,1.570983124E0,8.731642456E0,-5.209167480E-2
1.880660875E0,1.863025818E0,8.568332062E0,6.541397095E-1
1.890658875E0,2.068698120E0,8.508157196E0,1.603166199E0
1.900657875E0,2.161654816E0,9.198671265E0,2.423909454E0
1.910655875E0,2.164798279E0,9.803563385E0,2.777324524E0
1.920654875E0,1.586850128E0,1.009620483E1,2.978655853E0
1.930652875E0,3.427871704E-1,1.017179764E1,3.822451172E0
1.940650875E0,-1.179846497E0,9.981393585E0,4.018244019E0
1.950649875E0,-2.948418732E0,9.807754669E0,3.505410461E0
1.960647875E0,-4.616400146E0,9.738598480E0,3.042423248E0
1.970646875E0,-5.904471588E0,9.789642334E0,2.567910004E0
1.980644875E0,-6.386319580E0,9.990823975E0,1.608105927E0
1.990643875E0,-6.155499573E0,1.013572266E1,9.912387085E-1
2.000641875E0,-5.709277496E0,1.040306671E1,1.291065216E0
2.010639875E0,-5.057981873E0,1.081231567E1,2.123484192E0
2.020638875E0,-4.494403839E0,1.117396362E1,3.015030212E0
2.030636875E0,-4.321663055E0,1.180085999E1,3.285667419E0
2.040634875E0,-4.339625702E0,1.323996735E1,2.657573547E0
2.050633875E0,-4.328997803E0,1.598720444E1,1.553768921E0
2.060631875E0,-3.858675842E0,1.788151520E1,-1.017883301E-2
