"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.707874999E-3,1.597754657E-1,3.222278059E-1,5.287266523E-2
1.470587500E-2,1.539300829E-1,3.594705164E-1,5.936172232E-2
2.470487500E-2,1.233744472E-1,3.217280805E-1,6.770795584E-2
3.470287500E-2,7.682558149E-2,1.995936334E-1,6.672818214E-2
4.470087500E-2,5.730519071E-2,1.004343033E-1,5.331060290E-2
5.469987500E-2,5.211149156E-2,1.594285667E-2,4.340683669E-2
6.469787500E-2,4.954273254E-2,-3.336371109E-2,4.275049269E-2
7.469687500E-2,4.000249133E-2,-5.832525343E-2,3.219292313E-2
8.469487500E-2,2.967191301E-2,-6.770850718E-2,2.091403119E-2
9.469287500E-2,3.155023977E-2,-5.119797215E-2,9.229412302E-3
1.046918750E-1,3.899285942E-2,-4.184481502E-2,1.500303857E-2
1.146898750E-1,4.228665680E-2,-4.780097678E-2,1.804303564E-2
1.246888750E-1,3.952224553E-2,-6.914781034E-2,2.332226187E-2
1.346868750E-1,3.637785092E-2,-8.234776556E-2,2.185698971E-2
1.446848750E-1,4.691772908E-2,-1.167574003E-1,1.594598219E-2
1.546838750E-1,3.859774768E-2,-7.355879247E-2,3.042905219E-2
1.646818750E-1,4.115507007E-2,-5.674160272E-2,3.478074819E-2
1.746808750E-1,4.537431523E-2,-3.877086192E-2,3.353917971E-2
1.846788750E-1,4.241066799E-2,-3.962493688E-2,3.030669503E-2
1.946768750E-1,3.309226781E-2,-4.685941339E-2,2.011877298E-2
2.046758750E-1,4.199326783E-2,-4.953482375E-2,1.150224265E-2
2.146738750E-1,5.826731026E-2,-3.087591752E-2,2.834984800E-3
2.246728750E-1,7.458972931E-2,-1.967373304E-2,5.022042897E-3
2.346708750E-1,9.150533378E-2,-3.244838491E-2,3.085125936E-3
2.446688750E-1,1.007819772E-1,-6.940373778E-2,9.212220088E-3
2.546678750E-1,1.085730493E-1,-1.441440284E-1,1.385171339E-2
2.646658750E-1,9.280703217E-2,-1.783877313E-1,3.325109929E-2
2.746648750E-1,1.223207116E-1,-2.563011646E-1,2.591755241E-2
2.846628750E-1,1.342021376E-1,-2.629220784E-1,2.416445641E-3
2.946608750E-1,1.606918126E-1,-1.979750246E-1,-3.098491952E-2
3.046631250E-1,2.097042650E-1,-2.000469714E-1,-3.637610003E-2
3.146611250E-1,2.294079363E-1,-2.187349051E-1,-6.810749415E-3
3.246601250E-1,2.751502693E-1,-2.277662009E-1,6.457857788E-2
3.346581250E-1,3.402040899E-1,-4.185041040E-2,1.128851250E-1
3.446571250E-1,4.044568837E-1,8.273866028E-2,1.394272298E-1
3.546551250E-1,4.701874256E-1,1.316784918E-1,1.534322649E-1
3.646531250E-1,5.365189314E-1,1.496841460E-1,1.732194275E-1
3.746521250E-1,5.939438343E-1,1.625959426E-1,1.700966060E-1
3.846501250E-1,6.086755991E-1,1.384176463E-1,1.782898456E-1
