time_s,roll_deg,pitch_deg
0.000000,64.1438,8.1174
0.009998,64.2099,8.3250
0.019997,64.2410,8.5071
0.029995,64.2363,8.6195
0.039993,64.2316,8.6615
0.049992,64.2326,8.6613
0.059990,64.2251,8.6311
0.069989,64.2001,8.5858
0.079987,64.1661,8.5437
0.089985,64.1390,8.5062
0.099984,64.1197,8.4706
0.109982,64.0977,8.4246
0.119981,64.0749,8.3690
0.129979,64.0532,8.3150
0.139977,64.0440,8.2471
0.149976,64.0215,8.2158
0.159974,64.0206,8.1813
0.169973,64.0222,8.1625
0.179971,64.0227,8.1525
0.189969,64.0154,8.1312
0.199968,64.0198,8.1057
0.209966,64.0395,8.0873
0.219965,64.0672,8.0695
0.229963,64.0890,8.0429
0.239961,64.0977,7.9947
0.249960,64.0951,7.9007
0.259958,64.0643,7.7812
0.269957,64.0482,7.6198
0.279955,64.0225,7.4358
0.289953,63.9913,7.3443
0.299955,64.0090,7.2666
0.309953,64.0202,7.1404
0.319952,64.0180,7.0363
0.329950,64.0411,7.0591
0.339949,64.1830,7.1593
0.349947,64.3729,7.2953
0.359945,64.5806,7.4378
0.369944,64.7868,7.5901
0.379942,64.9776,7.7214
0.389941,65.1653,7.7977
0.399939,65.4118,7.8470
0.409937,65.6836,7.8762
0.419936,65.8938,7.7652
0.429934,66.0682,7.4122
0.439933,66.2441,6.9253
0.449931,66.5317,6.3767
0.459929,66.9039,5.8033
0.469928,67.3247,5.3207
0.479926,67.8314,5.0733
0.489925,68.4484,5.0489
0.499923,69.0422,5.1856
0.509921,69.5879,5.3369
0.519920,70.0629,5.3833
0.529918,70.4685,5.2886
0.539917,70.8034,5.0271
0.549915,71.1097,4.5751
0.559913,71.4647,3.9181
0.569912,72.0402,3.2424
0.579910,72.7345,2.7160
0.589909,73.2698,2.3620
0.599907,73.5922,2.0747
0.609905,73.7421,1.8106
0.619904,73.6612,1.7229
0.629902,73.5266,1.7909
0.639901,73.4931,1.8939
0.649899,73.5253,1.9155
0.659897,73.5445,1.8233
0.669896,73.4663,1.6862
0.679894,73.3266,1.5460
0.689893,73.1916,1.3911
0.699891,73.0763,1.2173
0.709889,72.9728,0.9671
0.719888,72.8514,0.5820
0.729886,72.6947,0.0580
0.739885,72.4782,-0.5680
0.749883,72.2252,-1.2245
0.759882,71.9488,-1.8665
0.769880,71.6931,-2.3999
0.779878,71.4355,-2.7493
0.789877,71.0961,-3.0104
0.799875,70.5981,-3.3217
0.809874,69.9749,-3.7626
0.819872,69.3414,-4.3709
0.829870,68.8337,-5.0988
